AAPL,Estimated,2021-05-11,0.0068,0.205,0.82,44327
MSFT,Declared,2021-03-11,0.00963938376796626,0.56,2.09,44266
TSM,Declared,2021-04-15,0.0141796093377798,0.43835,1.721076,44301
JPM,Estimated,2021-04-30,0.0245,0.9,3.6,44316
JNJ,Declared,2021-03-09,0.0254953931591568,1.01,3.98,44264
V,Estimated,2021-06-01,0.0073,0.32,1.54,44348
WMT,Declared,2021-04-05,0.0169334975369458,0.55,2.16,44291
MA,Declared,2021-05-07,0.00497385897979369,0.44,1.64,44323
NVDA,Declared,2021-03-31,0.00116664843778482,0.16,0.64,44286
UNH,Declared,2021-03-23,0.0150502678947685,1.25,4.83,44278
PG,Estimated,2021-05-16,0.0256,0.7907,3.1628,44332
BAC,Declared,2021-03-26,0.020743301642178,0.18,0.72,44281
RHHBY,Declared,2021-03-29,0.0311005717761557,1.2782335,1.1366212,44284
HD,Declared,2021-03-25,0.0255477278005728,1.65,6,44280
VZ,Estimated,2021-05-01,0.044,0.6275,2.485,44317
INTC,Estimated,2021-06-01,0.022,0.3475,1.3375,44348
CMCSA,Declared,2021-04-28,0.01896813353566,0.25,0.92,44314
IDCBY,Estimated,2021-08-05,0.0567,0.741599,0.741599,44413
XOM,Declared,2021-03-10,0.0640058855986757,0.87,3.48,44265
ASML,Declared,2021-05-12,0.00665273589730025,1.88635,2.853468,44328
PNGAY,Declared,2021-06-03,0.0348038600723763,0.432786,0.598339,44350
KO,Declared,2021-04-01,0.0342927127985303,0.42,1.64,44287
ABT,Declared,2021-05-17,0.0150275505092669,0.45,1.53,44333
NKE,Declared,2021-04-01,0.00816144828609586,0.275,1.01,44287
T,Estimated,2021-05-01,0.0746,0.52,2.08,44317
RYDBF,Declared,2021-03-29,0.0338242762823768,0.1665,0.9565,44284
CICHY,Estimated,2021-08-14,0.0562,0.902525,0.902525,44422
NVS,Declared,2021-03-15,0.0393246222791293,3.3783783,3.0873655,44270
RYDAF,Declared,2021-03-29,0.0329214038556599,0.1665,0.9565,44284
LLY,Declared,2021-03-10,0.0165942700961491,0.85,2.96,44265
ORCL,Estimated,2021-04-21,0.0149,0.24,0.96,44307
CSCO,Declared,2021-04-28,0.0329841765099175,0.37,1.44,44314
CVX,Declared,2021-03-10,0.0516,1.29,5.16,44265
ABBV,Declared,2021-05-14,0.0482643400779654,1.3,4.84,44330
MRK,Declared,2021-04-07,0.0358028091434866,0.65,2.48,44293
PFE,Declared,2021-03-05,0.0465810689758136,0.39,1.14,44260
AVGO,Estimated,2021-03-31,0.0284,3.6,13.35,44286
PEP,Declared,2021-03-31,0.0316587971205201,1.0225,4.0225,44286
